Row ID Number,Component Name,File Path,Line Number,Source Code Snippet,Issue Type,Severity,Issue Description,Suggested Fix
1,plugin,plugin/USBDeviceImplementation.cpp,820-837,if (LIBUSB_SUCCESS == (retValue = libusb_get_active_config_descriptor(pDev &config_desc))) { ... } else { ... },Resource Leak,High,"libusb_get_active_config_descriptor allocates config_desc but libusb_free_config_descriptor is never called in either the success or failure branch of getUSBDeviceInfoStructFromDeviceDescriptor. Every call to this function leaks a config descriptor object.","After using config_desc call libusb_free_config_descriptor(config_desc) before the end of the if block. Add cleanup in both success and failure paths to ensure the descriptor is always freed."
2,plugin,plugin/USBDeviceImplementation.cpp,340-371,"_handlingUSBDeviceEvents = false; ... while (_handlingUSBDeviceEvents) { ... }",Concurrency Race Condition,High,"The boolean flag _handlingUSBDeviceEvents is written by the main thread in libUSBClose() (line 340) and read in the event-handling thread libUSBEventsHandlingThread() (line 363) with no synchronization mechanism. This is a data race that constitutes undefined behavior under the C++ memory model.","Change _handlingUSBDeviceEvents from bool to std::atomic<bool> so that reads and writes across threads are safe without additional locking."
3,plugin,plugin/USBDeviceImplementation.cpp,386,"if (Core::ERROR_NONE == USBDeviceImplementation::instance()->getUSBDeviceStructFromDeviceDescriptor(dev &usbDevice))",Null Dereference,High,"USBDeviceImplementation::instance() can return nullptr if the singleton has not been set (e.g. before construction or after destruction). In libUSBHotPlugCallbackDeviceAttached and libUSBHotPlugCallbackDeviceDetached the return value is dereferenced without a null check causing a potential crash.","Check the return value of instance() for nullptr before dereferencing it in both hotplug callback functions."
4,plugin,plugin/USBDeviceImplementation.cpp,649,"else if (4 < (retValue = libusb_get_string_descriptor(devHandle 0 0 (unsigned char*)langBuff sizeof(langBuff))))",Logic Defect,High,"The condition 4 < retValue leads to the branch that reads string descriptors with languageID=0 (a fallback path) and then unconditionally logs an error. The else branch which actually iterates over language IDs from the response buffer executes only when retValue<=4 meaning little or no data was received. The condition is effectively inverted: the language-ID parsing loop should execute when retValue>4 (valid language data present).","Swap the logic so the else branch (language-ID iteration) executes when 4 < retValue and the fallback languageID=0 reads execute in the else case. Remove or correct the LOGERR on line 664 which fires even when string descriptor retrieval succeeds."
5,plugin,plugin/USBDeviceImplementation.cpp,585-589,"} else { stringDescriptor = string(reinterpret_cast<char*>(descBuf)); status = Core::ERROR_NONE; } LOGERR(""languageID: %u libusb_get_string_descriptor failed..."");",Incorrect Error Handling,Medium,"In getUSBDescriptorValue the LOGERR call on line 589 is placed outside the inner else block so it executes unconditionally after the libusb_get_string_descriptor_ascii attempt - including on the success path where status is already set to Core::ERROR_NONE. This produces a spurious error log message for every successful ASCII fallback descriptor fetch.","Move the LOGERR call inside the if (retValue < 0) branch so it only fires when libusb_get_string_descriptor_ascii also fails."
6,plugin,plugin/USBDeviceImplementation.cpp,680-693,"if (Core::ERROR_NONE != (status = getUSBDescriptorValue(...))) { ... } if (Core::ERROR_NONE != (status = getUSBDescriptorValue(...))) { ... }",Logic Defect,Medium,"In the language-ID iteration loop of getUSBExtInfoStructFromDeviceDescriptor the status variable is overwritten by each sequential call to getUSBDescriptorValue. If the first call fails but the last call succeeds status will be Core::ERROR_NONE masking the earlier failure. Similarly if the first call succeeds but a later call fails the overall status reflects only the last call.","Introduce a local result variable for each getUSBDescriptorValue call and accumulate failures (e.g. with bitwise OR or by only updating the overall status on failure) so that any individual descriptor retrieval failure is preserved."
7,plugin,plugin/USBDeviceImplementation.cpp,1062-1100,"devCount = libusb_get_device_list(NULL &devs); ... if (devCount > 0) { ... } else { LOGWARN(""USBDevice Not found""); status = Core::ERROR_NONE; }",Incorrect Error Handling,Medium,"libusb_get_device_list returns a negative value on error. In GetDeviceList GetDeviceInfo BindDriver and UnbindDriver the else branch treats both devCount==0 (no devices) and devCount<0 (libusb error) identically returning Core::ERROR_NONE with no error surfaced to the caller.","Add an explicit check: if (devCount < 0) log the error and return an appropriate error code (e.g. Core::ERROR_GENERAL); only treat devCount==0 as the no-devices case."
8,plugin,plugin/USBDeviceImplementation.cpp,1091-1099,"} else { LOGWARN(""USBDevice Not found""); status = Core::ERROR_NONE; }",Incorrect Error Handling,Medium,"In GetDeviceList when devCount==0 the function returns Core::ERROR_NONE but the output parameter devices is never assigned leaving it in whatever state the caller had it. If the caller uses devices after a Core::ERROR_NONE return without checking for nullptr this causes a null dereference.","When devCount==0 set devices to nullptr explicitly (or initialize it at the point where its declared as an output parameter) so callers always receive a defined value."
9,plugin,plugin/USBDeviceImplementation.cpp,316-326,"_libUSBDeviceThread = new std::thread(...); if (nullptr != _libUSBDeviceThread) { ... } else { LOGERR(""libUSBEventsHandlingThread Failed""); }",Misleading Construct,Low,"operator new throws std::bad_alloc on allocation failure rather than returning nullptr. The if (nullptr != _libUSBDeviceThread) check after new std::thread is therefore dead code and the error branch is unreachable giving a false impression that allocation failure is handled.","Replace the raw pointer with std::unique_ptr<std::thread> to manage the thread lifetime safely and remove the unreachable nullptr guard. Alternatively wrap the new call in a try/catch block to handle std::bad_alloc."
10,plugin,plugin/USBDeviceImplementation.cpp,252-261,"static USBDeviceImplementation *USBDeviceImpl_instance = nullptr; if (USBDeviceImpl != nullptr) { USBDeviceImpl_instance = USBDeviceImpl; }",Concurrency Race Condition,Medium,"The singleton instance() function reads and writes the static local pointer USBDeviceImpl_instance without any synchronization. If instance() is called concurrently (e.g. a hotplug callback fires before initialization completes) there is a data race on the pointer.","Protect the instance pointer with a mutex or use std::atomic<USBDeviceImplementation*> for the static local variable."
11,helpers,helpers/UtilsFile.h,31-84,"auto MoveFile(const string &from const string &to) -> bool { ... }",Coding Guideline Violation,Medium,"MoveFile and getLastLine are full function definitions in a header file without the inline keyword. If this header is included in more than one translation unit the linker will produce multiple-definition errors at link time.","Add the inline keyword to both function definitions in UtilsFile.h or move the implementations to a dedicated .cpp file."
12,plugin,plugin/USBDeviceImplementation.cpp,162,"std::thread *_libUSBDeviceThread;",Incorrect Lifetime Handling,Low,"_libUSBDeviceThread is a raw owning pointer to a std::thread object. Raw ownership makes it easy to introduce leaks if an exception is thrown between construction and the matching delete in libUSBClose particularly during the early error paths in libUSBInit.","Replace std::thread *_libUSBDeviceThread with std::unique_ptr<std::thread> _libUSBDeviceThread so that the thread object is automatically destroyed when the implementation object is destroyed."
